time	V(x)
0,000000000000000e+000	0,000000e+000
2,285714271822924e-008	2,074485e-006
4,571428543645849e-008	8,199807e-006
6,857142815468773e-008	1,837597e-005
9,142857087291697e-008	3,260296e-005
1,142857135911462e-007	5,088079e-005
1,371428563093755e-007	7,320946e-005
1,599999990276046e-007	9,958896e-005
3,199999980552093e-007	3,946340e-004
6,399999961104186e-007	1,543059e-003
1,265956201368332e-006	5,538675e-003
2,154259107897182e-006	1,448464e-002
3,130821607897182e-006	2,840411e-002
4,107384107897182e-006	4,637238e-002
5,083946607897182e-006	6,799859e-002
6,060509107897182e-006	9,281062e-002
7,037071607897182e-006	1,203642e-001
8,013634107897182e-006	1,502406e-001
8,990196607897182e-006	1,820443e-001
9,966759107897183e-006	2,154015e-001
1,094332160789718e-005	2,499584e-001
1,191988410789719e-005	2,853800e-001
1,289644660789719e-005	3,213490e-001
1,387300910789719e-005	3,575646e-001
1,484957160789719e-005	3,937420e-001
1,582613410789719e-005	4,296119e-001
1,680269660789719e-005	4,649195e-001
1,777925910789719e-005	4,994243e-001
1,875582160789719e-005	5,329000e-001
1,973238410789719e-005	5,651339e-001
2,070894660789719e-005	5,959266e-001
2,168550910789719e-005	6,250926e-001
2,266207160789720e-005	6,524590e-001
2,363863410789720e-005	6,778666e-001
2,461519660789720e-005	7,011691e-001
2,559175910789720e-005	7,222332e-001
2,656832160789720e-005	7,409388e-001
2,754488410789720e-005	7,571789e-001
2,852144660789720e-005	7,708594e-001
2,949800910789720e-005	7,818992e-001
3,047457160789720e-005	7,902302e-001
3,145113410789720e-005	7,957970e-001
3,242769660789720e-005	7,985575e-001
3,340425910789720e-005	7,984819e-001
3,535738410789720e-005	7,897670e-001
3,731050910789720e-005	7,696655e-001
3,926363410789721e-005	7,383843e-001
4,121675910789721e-005	6,963173e-001
4,316988410789721e-005	6,440350e-001
4,512300910789721e-005	5,822742e-001
4,707613410789721e-005	5,119233e-001
4,902925910789722e-005	4,340080e-001
5,098238410789722e-005	3,496740e-001
5,293550910789722e-005	2,601688e-001
5,488863410789722e-005	1,668213e-001
5,684175910789722e-005	7,102206e-002
5,879488410789722e-005	-2,579926e-002
6,074800910789723e-005	-1,221953e-001
6,270113410789723e-005	-2,167233e-001
6,465425910789723e-005	-3,079673e-001
6,660738410789723e-005	-3,945597e-001
6,856050910789723e-005	-4,752018e-001
7,051363410789723e-005	-5,486837e-001
7,246675910789724e-005	-6,139026e-001
7,441988410789724e-005	-6,698796e-001
7,637300910789724e-005	-7,157743e-001
7,832613410789724e-005	-7,508977e-001
8,027925910789724e-005	-7,747226e-001
8,223238410789724e-005	-7,868914e-001
8,418550910789725e-005	-7,872218e-001
8,613863410789725e-005	-7,757094e-001
8,809175910789725e-005	-7,525277e-001
9,004488410789725e-005	-7,180259e-001
9,199800910789725e-005	-6,727231e-001
9,395113410789725e-005	-6,173010e-001
9,590425910789726e-005	-5,525933e-001
9,785738410789726e-005	-4,795734e-001
9,981050910789726e-005	-3,993399e-001
1,017636341078973e-004	-3,130994e-001
1,037167591078973e-004	-2,221493e-001
1,056698841078973e-004	-1,278577e-001
1,076230091078973e-004	-3,164268e-002
1,095761341078973e-004	6,504840e-002
1,115292591078973e-004	1,607613e-001
1,134823841078973e-004	2,540562e-001
1,154355091078973e-004	3,435300e-001
1,173886341078973e-004	4,278369e-001
1,193417591078973e-004	5,057087e-001
1,212948841078973e-004	5,759743e-001
1,232480091078973e-004	6,375767e-001
1,252011341078973e-004	6,895894e-001
1,271542591078973e-004	7,312301e-001
1,291073841078973e-004	7,618724e-001
1,310605091078973e-004	7,810555e-001
1,330136341078973e-004	7,884907e-001
1,349667591078973e-004	7,840663e-001
1,369198841078973e-004	7,678489e-001
1,388730091078973e-004	7,400823e-001
1,408261341078973e-004	7,011842e-001
