IN_x;IN_y;OUT_x;OUT_y
2023-01-14 13:57:57:212;2482;2023-01-14 13:57:57:212;2425.1
2023-01-14 13:57:57:212;2512;2023-01-14 13:57:57:212;2441.7
2023-01-14 13:57:57:744;835;2023-01-14 13:57:57:744;2308
2023-01-14 13:57:57:759;681;2023-01-14 13:57:57:759;1836.9
2023-01-14 13:57:57:759;630;2023-01-14 13:57:57:759;1238.6
2023-01-14 13:57:57:775;636;2023-01-14 13:57:57:775;807.1
2023-01-14 13:57:57:790;786;2023-01-14 13:57:57:790;610.5
2023-01-14 13:57:57:790;467;2023-01-14 13:57:57:790;567.8
2023-01-14 13:57:57:806;403;2023-01-14 13:57:57:806;539
2023-01-14 13:57:57:822;346;2023-01-14 13:57:57:822;477
2023-01-14 13:57:57:822;388;2023-01-14 13:57:57:822;414.9
2023-01-14 13:57:57:837;358;2023-01-14 13:57:57:837;376.6
2023-01-14 13:57:57:853;310;2023-01-14 13:57:57:853;354.8
2023-01-14 13:57:57:868;265;2023-01-14 13:57:57:868;330.4
2023-01-14 13:57:57:868;247;2023-01-14 13:57:57:868;299.3
2023-01-14 13:57:57:884;234;2023-01-14 13:57:57:884;269
2023-01-14 13:57:57:884;225;2023-01-14 13:57:57:884;245.6
2023-01-14 13:57:57:900;244;2023-01-14 13:57:57:900;232.5
2023-01-14 13:57:57:900;247;2023-01-14 13:57:57:900;231.1
2023-01-14 13:57:57:935;251;2023-01-14 13:57:57:935;236.9
2023-01-14 13:57:57:935;253;2023-01-14 13:57:57:935;244.2
2023-01-14 13:57:57:935;259;2023-01-14 13:57:57:935;250.4
2023-01-14 13:57:57:947;265;2023-01-14 13:57:57:947;255.9
2023-01-14 13:57:57:963;247;2023-01-14 13:57:57:963;258.9
2023-01-14 13:57:57:963;253;2023-01-14 13:57:57:963;257.6
2023-01-14 13:57:57:979;286;2023-01-14 13:57:57:979;258
2023-01-14 13:57:57:979;295;2023-01-14 13:57:57:979;266.7
2023-01-14 13:57:57:994;352;2023-01-14 13:57:57:994;285.4
2023-01-14 13:57:58:11;367;2023-01-14 13:57:58:11;313.5
2023-01-14 13:57:58:11;404;2023-01-14 13:57:58:11;345.9
2023-01-14 13:57:58:27;418;2023-01-14 13:57:58:27;377.2
2023-01-14 13:57:58:43;530;2023-01-14 13:57:58:43;413.1
2023-01-14 13:57:58:58;370;2023-01-14 13:57:58:58;444.2
2023-01-14 13:57:58:58;416;2023-01-14 13:57:58:58;445.7
2023-01-14 13:57:58:58;461;2023-01-14 13:57:58:58;434.5
2023-01-14 13:57:58:74;488;2023-01-14 13:57:58:74;439.4
2023-01-14 13:57:58:89;539;2023-01-14 13:57:58:89;462.3
2023-01-14 13:57:58:89;542;2023-01-14 13:57:58:89;495.2
2023-01-14 13:57:58:105;594;2023-01-14 13:57:58:105;529.2
2023-01-14 13:57:58:121;723;2023-01-14 13:57:58:121;573.4
2023-01-14 13:57:58:121;906;2023-01-14 13:57:58:121;651.8
2023-01-14 13:57:58:262;1304;2023-01-14 13:57:58:262;798.2
2023-01-14 13:57:58:277;1235;2023-01-14 13:57:58:277;998.9
2023-01-14 13:57:58:293;1113;2023-01-14 13:57:58:293;1152.8
2023-01-14 13:57:58:308;1072;2023-01-14 13:57:58:308;1196.5
2023-01-14 13:57:58:313;1102;2023-01-14 13:57:58:313;1169.3
2023-01-14 13:57:58:320;1114;2023-01-14 13:57:58:320;1132.2
2023-01-14 13:57:58:324;1225;2023-01-14 13:57:58:324;1122.4
2023-01-14 13:57:58:340;1364;2023-01-14 13:57:58:340;1161.9
2023-01-14 13:57:58:340;1376;2023-01-14 13:57:58:340;1241.6
2023-01-14 13:57:58:356;1391;2023-01-14 13:57:58:356;1320.9
2023-01-14 13:57:58:371;1401;2023-01-14 13:57:58:371;1374.2
2023-01-14 13:57:58:371;1486;2023-01-14 13:57:58:371;1409.8
2023-01-14 13:57:58:387;1595;2023-01-14 13:57:58:387;1453.7
2023-01-14 13:57:58:403;1601;2023-01-14 13:57:58:403;1513.5
2023-01-14 13:57:58:403;1604;2023-01-14 13:57:58:403;1567.3
